room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
17579355,1473,14012859,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,66.0,,2017-07-22 15:35:23.332149,53.34448,-6.265413,0101000020E6100000A5BBEB6CC80F19C02310AFEB17AC4A40
19907345,1473,140139099,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,2,1.0,,72.0,,2017-07-22 15:35:23.327811,53.357375,-6.267832,0101000020E6100000024A438D421219C039B4C876BEAD4A40
15472844,1473,69334097,Shared room,,Dublin,,Dublin city and suburbs,6,5.0,2,1.0,,42.0,,2017-07-22 15:35:19.666931,53.35754,-6.260034,0101000020E61000006B64575A460A19C08481E7DEC3AD4A40
5647423,1473,28355799,Shared room,,Dublin,,Dublin city and suburbs,21,4.5,1,1.0,,42.0,,2017-07-22 15:35:16.382498,53.403695,-6.213805,0101000020E610000097E2AAB2EFDA18C084471B47ACB34A40
5630103,1473,28355799,Shared room,,Dublin,,Dublin city and suburbs,14,4.0,3,1.0,,42.0,,2017-07-22 15:35:16.380329,53.404966,-6.212276,0101000020E61000001DE736E15ED918C0F8FE06EDD5B34A40
4744196,1473,22192878,Shared room,,Dublin,,Dublin city and suburbs,16,4.5,3,1.0,,42.0,,2017-07-22 15:35:16.377688,53.39411,-6.219691,0101000020E6100000F3E670ADF6E018C066834C3272B24A40
5533460,1473,28355799,Shared room,,Dublin,,Dublin city and suburbs,17,4.5,4,1.0,,54.0,,2017-07-22 15:35:16.374832,53.403248,-6.21378,0101000020E6100000D027F224E9DA18C0B51666A19DB34A40
14152235,1473,85514505,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,14,1.0,,48.0,,2017-07-22 15:35:16.372645,53.38708,-6.254613,0101000020E6100000B98B3045B90419C0C47762D68BB14A40
8274653,1473,31337205,Shared room,,Dublin,,Dublin city and suburbs,19,4.0,4,1.0,,44.0,,2017-07-22 15:35:16.368987,53.359421,-6.257702,0101000020E610000086747808E30719C0703FE08101AE4A40
2620389,1473,12076665,Shared room,,Dublin,,Dublin city and suburbs,6,4.0,1,1.0,,45.0,,2017-07-22 15:35:16.366179,53.352005,-6.274785,0101000020E6100000B6B9313D611919C0A583F57F0EAD4A40
5472819,1473,28355799,Shared room,,Dublin,,Dublin city and suburbs,30,4.5,3,1.0,,42.0,,2017-07-22 15:35:16.363601,53.3986,-6.198308,0101000020E610000003249A4011CB18C0C217265305B34A40
5480420,1473,27706477,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,50.0,,2017-07-22 15:35:16.360677,53.338295,-6.275117,0101000020E6100000664B5645B81919C03EB324404DAB4A40
11075406,1473,34221459,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,3,1.0,,48.0,,2017-07-22 15:35:16.357173,53.255032,-6.174495,0101000020E6100000184339D1AEB218C07CB779E3A4A04A40
8355105,1473,44016841,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,1,1.0,,60.0,,2017-07-22 15:35:16.354434,53.299668,-6.200725,0101000020E61000005AF5B9DA8ACD18C030D461855BA64A40
8378373,1473,31337205,Shared room,,Dublin,,Dublin city and suburbs,10,4.5,2,1.0,,44.0,,2017-07-22 15:35:16.352231,53.359977,-6.258351,0101000020E61000003B8E1F2A8D0819C0F627F1B913AE4A40
17381017,1473,117464939,Shared room,,Dublin,,Dublin city and suburbs,0,0.0,4,1.0,,60.0,,2017-07-22 15:35:16.349445,53.358996,-6.257327,0101000020E6100000DC82A5BA800719C089B2B794F3AD4A40
14234600,1473,86550971,Shared room,,Dublin,,Dublin city and suburbs,29,4.0,2,1.0,,50.0,,2017-07-22 15:35:16.347259,53.358119,-6.257537,0101000020E6100000310A82C7B70719C0C289E8D7D6AD4A40
15138246,1473,95992820,Shared room,,Dublin,,Dublin city and suburbs,2,0.0,1,1.0,,46.0,,2017-07-22 15:35:16.345039,53.384913,-6.413478,0101000020E61000004276DEC666A719C0126745D444B14A40
15986792,1473,71862772,Shared room,,Dublin,,Dublin city and suburbs,6,3.0,2,1.0,,43.0,,2017-07-22 15:35:16.342303,53.353604,-6.268511,0101000020E61000000C772E8CF41219C00DDE57E542AD4A40
